Symbol,Last_Close (₦),XGB_Signal,XGB_Return (%),XGB_R2,XGB_Direction_Acc,XGB_Balanced_Acc,XGB_Buy_Probability,XGB_F1_BUY,XGB_Confidence,RF_Signal,RF_Return (%),RF_R2,RF_Direction_Acc,RF_Balanced_Acc,RF_Buy_Probability,RF_F1_BUY,RF_Confidence,LSTM_Signal,LSTM_Return (%),LSTM_R2,LSTM_Direction_Acc,LSTM_Balanced_Acc,LSTM_Buy_Probability,LSTM_F1_BUY,LSTM_Confidence,XGB_Quality_Pass,RF_Quality_Pass,LSTM_Quality_Pass,Models_Run,Qualified_Models,Qualified_Model_Names,Vote_Source,Consensus_Signal,Consensus_Tier,Avg_R2,Avg_Quality_R2,Avg_Confidence,Avg_Return,Fallback_Return_20D (%),Fallback_Return_60D (%),Fallback_Return_120D (%),Fallback_Avg_Trade_Value_20D
LINKASSURE,1.79,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.0732,3.324,9.816,2.8736,-2.7174,32982866.26
LIVESTOCK,7.95,SELL,-11.09,0.0886,58.91,58.86,13.61,47.18,0.2021,SELL,-10.49,0.0233,52.45,52.33,15.6,8.91,0.0321,,,,,,,,,True,True,False,2,2,"XGB,RF",quality,SELL,2,0.056,0.056,0.1171,,,,,
LIVINGTRUST,4.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,HOLD,3,0.0,0.0,0.05,0.2692,17.6471,-28.5714,11.7318,4001328.91
MANSARD,13.5,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.0931,-5.3124,0.0,-20.5882,4.6512,22630521.18
MAYBAKER,37.9,SELL,-1.98,0.0797,54.07,57.97,40.09,49.86,0.0573,SELL,-2.02,0.0565,50.13,55.65,39.86,39.87,0.045,,,,,,,,,True,True,False,2,2,"XGB,RF",quality,SELL,2,0.0681,0.0681,0.0512,,,,,
MBENEFIT,4.29,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,9.3637,6.9825,-9.6842,30.7927,64855926.53
MCNICHOLS,8.6,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,86.9354,40.7529,1.5348,218.5185,29557669.44
MECURE,94.9,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,98.1455,63.3391,12.6409,218.4564,56761675.86
MEYER,20.6,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,26.4626,22.619,-0.4831,57.2519,14267468.62
MOBIL,228.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.0846,4.4577,0.0,-8.6172,21.9904,3324354.98
MRS,149.5,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.12,-8.8474,-4.1052,-5.0794,-17.3577,18131468.29
MTNN,820.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,25.4644,-5.7471,7.8947,74.2456,4492684659.11
MULTIVERSE,25.65,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,56.0732,0.0,12.9956,155.2239,3828418.07
NAHCO,189.5,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,25.11,-21.0417,18.4375,77.9343,394908189.95
NASCON,206.9,SELL,-8.34,0.0649,41.13,56.49,16.79,30.48,0.1144,SELL,-7.54,0.1334,48.92,63.34,19.96,43.11,0.1641,,,,,,,,,False,False,False,2,0,,none,CONFLICT,3,0.0991,0.0,0.0,,,,,
NB,74.65,SELL,-10.42,0.0214,45.45,52.14,9.67,22.79,0.0959,SELL,-10.21,0.0283,45.71,52.83,10.49,20.53,0.0857,,,,,,,,,False,False,False,2,0,,none,CONFLICT,3,0.0248,0.0,0.0,,,,,
NCR,161.2,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,43.4099,-18.995,-18.995,168.2196,9546174.54
NEIMETH,10.3,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,31.2862,15.0838,-11.9658,90.7407,91298931.27
NEM,32.45,SELL,-4.58,0.1064,59.52,60.64,32.4,57.38,0.1225,SELL,-4.77,0.1067,59.26,60.67,31.7,55.75,0.1238,,,,,,,,,True,True,False,2,2,"XGB,RF",quality,SELL,2,0.1066,0.1066,0.1232,,,,,
NESTLE,3100.0,SELL,-0.39,0.1117,61.06,61.17,47.47,55.7,0.0172,SELL,-0.77,0.0942,59.29,59.42,45.0,52.74,0.0314,BUY,0.22,0.0906,59.25,59.06,51.4,61.76,0.0102,False,False,False,3,0,,none,CONFLICT,3,0.0988,0.0,0.0,,,,,
NGXGROUP,149.5,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,64.9418,-3.5484,32.3595,166.0142,1664698629.57
NNFM,79.4,BUY,4.91,0.0722,60.66,57.22,62.21,43.53,0.0608,SELL,-6.49,0.112,67.21,61.2,33.84,38.46,0.0761,,,,,,,,,True,True,False,2,2,"XGB,RF",quality,CONFLICT,3,0.0921,0.0921,0.0684,,,,,
NPFMCRFBK,5.74,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,34.0641,8.3019,-14.8368,108.7273,14650956.9
NSLTECH,0.87,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.12,-10.7069,-2.2472,-40.0,10.1266,29641809.94
OANDO,45.0,BUY,11.02,0.1054,57.73,60.54,80.79,63.72,0.2375,BUY,9.31,0.1027,57.99,60.27,76.0,62.53,0.196,SELL,-1.83,0.0,56.25,50.0,44.87,0.0,0.0,True,True,False,3,2,"XGB,RF",quality,BUY,2,0.0694,0.104,0.2168,,,,,
OKOMUOIL,1765.0,BUY,3.41,0.2088,68.32,70.88,64.09,68.71,0.1372,SELL,-3.17,0.1827,62.73,68.27,36.88,56.52,0.1012,SELL,-1.11,0.0086,40.07,50.86,45.39,8.12,0.0038,True,True,False,3,2,"XGB,RF",quality,CONFLICT,3,0.1334,0.1958,0.1192,,,,,
OMATEK,1.99,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,15.085,-0.5,-16.0338,61.7886,6252526.38
PHARMDEKO,1.83,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.1185,-7.8545,-15.2778,-12.8571,4.5714,1440918.9
PREMPAINTS,33.75,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,151.9536,-10.0,206.8182,259.0426,2241077.22
PRESCO,2300.0,SELL,-1.58,0.0648,54.77,56.48,44.94,50.51,0.0289,SELL,-5.72,0.0236,49.23,52.36,31.69,35.29,0.0677,SELL,-3.1,0.0061,47.21,50.61,40.08,2.42,0.0024,True,False,False,3,1,XGB,quality,SELL,3,0.0315,0.0648,0.0289,,,,,
PRESTIGE,1.48,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.0778,-3.7761,6.4748,-7.5,-10.303,2714649.81
PZ,89.85,SELL,-4.8,0.1142,62.23,61.42,38.26,68.58,0.0989,SELL,-9.49,0.0604,50.53,56.04,26.81,48.62,0.1264,,,,,,,,,True,True,False,2,2,"XGB,RF",quality,SELL,2,0.0873,0.0873,0.1126,,,,,
REDSTAREX,30.7,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,81.6959,9.0586,2.3333,233.6957,64331148.98
REGALINS,1.02,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.0615,-2.1491,4.0816,-13.5593,3.0303,11157004.3
ROYALEX,1.5,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.12,-15.2047,-0.6623,-21.875,-23.0769,5998327.95
RTBRISCOE,14.9,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,155.1674,53.9256,30.9315,380.6452,47485647.11
